product_name,price (INR),rating,URL,reviews
DAHSHA Stylish Nylon Small Sling Cross Body Travel Bag for Business Office Messenger One Side Shoulder Carry Handbag Bag For Men & Women (35X18x25 CM-grey),695,3.9 out of 5 stars,https://www.amazon.in/DAHSHA-Bag-Business-Messenger-Shoulder/dp/B07GCLJTZF/ref=sr_1_214?crid=2M096C61O4MLT&keywords=bags&qid=1697644703&sprefix=ba%2Caps%2C283&sr=8-214,475
Fastrack Women's Sling Bag (Black),"1,345",4.0 out of 5 stars,https://www.amazon.in/Fastrack-Womens-Sling-Bag-Black/dp/B07MGXR7LT/ref=sr_1_215?crid=2M096C61O4MLT&keywords=bags&qid=1697644703&sprefix=ba%2Caps%2C283&sr=8-215,80
Wildcraft Unisex Zip Closure Backpack (Green_Free Size),"1,019",4.4 out of 5 stars,https://www.amazon.in/Wildcraft-Music-Backpack-Green-11954/dp/B07N2SBX54/ref=sr_1_216_mod_primary_new?crid=2M096C61O4MLT&keywords=bags&qid=1697644703&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=8-216,384
"Amazon Brand – Eono Reusable Tote Bags, 100% Organic Cotton Shopping/Grocery Bag, Multi-Purpose Bag, Sturdy Canvas Bag With 15kgs Capacity, Single Pack (Good Vibes)",179,3.8 out of 5 stars,https://www.amazon.in/Amazon-Brand-Reusable-Eco-Friendly-Multi-Purpose/dp/B08TTMMGYT/ref=sr_1_217?crid=2M096C61O4MLT&keywords=bags&qid=1697644703&sprefix=ba%2Caps%2C283&sr=8-217,"1,232"
"Zebronics Techshield A1, 18 Liters, 1 Compartment Laptop Backpack and Front Pocket, fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags (Black)",498,3.6 out of 5 stars,https://www.amazon.in/Zebronics-Techshield-Compartment-15-6-inch-Polyester/dp/B0C6QTMYFG/ref=sr_1_218?crid=2M096C61O4MLT&keywords=bags&qid=1697644703&sprefix=ba%2Caps%2C283&sr=8-218,11
"STRABO Defender Laptop Bag, Light weight & Water resistant - Color Olive 35L, Unisex Bag",999,4.5 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzE1MTM4OTc0MTMzNjU1OjE2OTc2NDQ3MDM6c3BfbXRmOjMwMDAxNDkzMTQ4NDczMjo6MDo6&url=%2FSTRABO-Defender-Laptop-weight-resistant%2Fdp%2FB0C9H8W6K6%2Fref%3Dsr_1_219_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697644703%26sprefix%3Dba%252Caps%252C283%26sr%3D8-219-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,25
URBAN TRIBE Airborne 30L Convertible Laptop Backpack for Men and Women | Laptop Bag 15.6 inch | Suitcase/Briefcase Style Backpack,"1,287",4.1 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzE1MTM4OTc0MTMzNjU1OjE2OTc2NDQ3MDM6c3BfbXRmOjMwMDA3MTkxMjcwNDEzMjo6MDo6&url=%2FUrban-Tribe-Laptop-Backpack-Airborne%2Fdp%2FB01LZ6G3KZ%2Fref%3Dsr_1_220_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697644703%26sprefix%3Dba%252Caps%252C283%26sr%3D8-220-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,198
"Amazon Basics Laptop Bag with USB Charging Port, Rain Cover and Reflective Strip for College, Office, Travel (Unisex, 35 L, Blue)",799,4.0 out of 5 stars,https://www.amazon.in/Bag-Charging-Reflective-College-Blue/dp/B0C4L2KX2W/ref=sr_1_221?crid=2M096C61O4MLT&keywords=bags&qid=1697644703&sprefix=ba%2Caps%2C283&sr=8-221,192
Gear Parker 23L Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women - Black,695,4.3 out of 5 stars,https://www.amazon.in/Gear-Executive-Anti-Theft-Backpack-BKPPKREXE0101/dp/B097KCMQKG/ref=sr_1_222?crid=2M096C61O4MLT&keywords=bags&qid=1697644703&sprefix=ba%2Caps%2C283&sr=8-222,492
DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),229,3.7 out of 5 stars,https://www.amazon.in/DZert-Hello-School-Backpacks-Cartoon/dp/B08M6FS6W8/ref=sr_1_223?crid=2M096C61O4MLT&keywords=bags&qid=1697644703&sprefix=ba%2Caps%2C283&sr=8-223,"12,741"
